created_at,text
Mon Jul 06 19:41:30 +0000 2020,i liked this before u tweeted it
Sun Jul 05 18:54:03 +0000 2020,miss u all way more  love u love u love u
Wed Jul 01 22:10:12 +0000 2020,happy july   vote
Mon Jun 29 15:32:21 +0000 2020,another reminder   colorado  you can still register to vote if you haven t already
Sun Jun 28 16:46:30 +0000 2020,"outeverythinged the original   
truly the best  most insane surprise ever  love u so much   please post in my head next"
Fri Jun 26 23:15:53 +0000 2020,thanks for the birthday wishes
Fri Jun 26 03:18:33 +0000 2020,almost 27
Tue Jun 23 19:39:54 +0000 2020,sent some food and coffee trucks for everyone waiting in line   please pull up  enjoy and use your voice today we need u
Mon Jun 22 21:05:56 +0000 2020,reminder
Sun Jun 21 17:46:04 +0000 2020,i love u
Sat Jun 20 18:29:28 +0000 2020,two years   love u
Fri Jun 19 04:16:48 +0000 2020,i love u and this song so much    experience out now   a huge congratulations to my bestie forever
Thu Jun 18 16:28:07 +0000 2020,join us as we work to register voters across the nation
Thu Jun 18 16:23:24 +0000 2020,sending u all so much love
Tue Jun 09 17:07:05 +0000 2020,primaries today    vote
Mon Jun 08 20:33:08 +0000 2020,los angeles      peoplesbudgetla  defundthepolice
Mon Jun 08 18:03:49 +0000 2020,"new yorkers   please support the repeal of 50 A  a new york law that blocks crucial information in the search for law enforcement accountability      

 repeal50a"
Sat Jun 06 16:15:36 +0000 2020,and of course please continue to register yourselves and your friends and loved ones to vote
Sat Jun 06 16:15:36 +0000 2020,here s an incredible link tree of petitions and other resources made by
Sat Jun 06 16:15:35 +0000 2020,here s a growing list of black owned brands to support and purchase from
Sat Jun 06 16:15:35 +0000 2020,the   is a nonprofit news organization covering police accountability and exposing failures   examining solutions for the justice system
Sat Jun 06 16:15:35 +0000 2020,the   fund is a black run bail fund assisting members of the community who have been arrested during the peaceful protests
Sat Jun 06 16:15:34 +0000 2020,black voters matter fund is expanding black voter engagement  amp  increasing progressive power
Sat Jun 06 16:15:34 +0000 2020,"8cantwait is a list of 8 policies to help reduce police violence that can be changed immediately to make our communities safer

link to pre written emails addressed to your respective cities"
Sat Jun 06 16:15:34 +0000 2020,the   is offering free virtual therapy for black americans who need help right now
Fri Jun 05 16:58:07 +0000 2020,"we demand  justiceforbreonna 
            
 sayhername"
Fri Jun 05 16:44:04 +0000 2020,"birthdayforbreonna  sayhername  
we are fighting for you   to demand justice for her and her family text ENOUGH to 55156 or visit"
Wed Jun 03 20:38:28 +0000 2020,today campaign zero launched  8cantwait  a list of 8 policies to reduce police violence that can be changed immediately and save lives  please check out your city to see what can be done locally
Wed Jun 03 20:31:33 +0000 2020,progress was made but let s not get distracted  there is still so much to learn and do  please make sure you are registered to vote and ready for your state s elections  also  note that voting from home is an option too thanks to
Tue Jun 02 19:03:57 +0000 2020,today
Tue Jun 02 00:17:15 +0000 2020,"as u fill out your ballot  please research   make informed choices  pay attention to how the candidates running have responded in this moment  

let s do everything we can big or small to make the changes necessary to fix the system  
pls stay safe"
Tue Jun 02 00:16:49 +0000 2020,"speechless 
 
nine states have primary elections on june 2nd 
if u live in one of these states  please take things one step further by voting out the corrupt officials  not just the president  that are encouraging systematic racism and discrimination"
Mon Jun 01 19:30:35 +0000 2020,"thank you for continuing to be such an incredible leader to us  
more so than anyone else  
this is why it is of utmost importance to register to vote and get educated on   ready for the primaries in your state  please register today if u haven t already"
Sun May 31 19:28:36 +0000 2020,"stay active  stay energized  keep sharing  keep learning   sending strength and if you are protesting today please be safe

    and   have shared more ways to help"
Sun May 31 18:28:26 +0000 2020,"hours and miles of peaceful protesting yesterday that got little to no coverage 
all throughout beverly hills and west hollywood we chanted  people beeped and cheered along  
we were passionate  we were loud  we were loving  
cover this too please  
 BLACKLIVESMATTER"
Fri May 29 19:10:03 +0000 2020,is  nine states have a primary on tuesday  the items on these ballots impact our day to day lives  we re voting for more than the president  use ur voice and check out   for resources
Fri May 29 19:09:45 +0000 2020,a lot of things feel scary  dangerous and uncertain right now  but there are things within our control  voting  contacting lawmakers  and taking the census  the most important thing you can do right now to take the power back is become a voter and know when your next election
Fri May 29 18:02:36 +0000 2020,a murderer is being held in protective custody
Thu May 28 20:10:44 +0000 2020,please keep signing these petitions  making donations  having conversations w family and friends about it  reading and sharing links and resources  gentle reminder that this doesn t end today or tomorrow or after you post about it once   blacklivesmatter
Thu May 28 19:05:00 +0000 2020,outtakes   in case u ever question my love for u   please refer back to this
Thu May 28 17:34:24 +0000 2020,many
Thu May 28 17:33:21 +0000 2020,thank u sm i did it
Thu May 28 17:06:27 +0000 2020,i ll do anything to earn my umbrella back   pls
Thu May 28 02:57:38 +0000 2020,"justiceforGeorgeFloyd

text FLOYD to 55156
  

to put pressure on DA Mike Freeman to charge and arrest these officers call 612 348 5550

and please sign the   petition"
Wed May 27 04:44:15 +0000 2020,omg
Tue May 26 23:39:39 +0000 2020,so excited  love u more mama
Tue May 26 22:53:49 +0000 2020,i love himmmmmmmmm
