created_at,text
Mon Jul 06 20:14:13 +0000 2020,I send my love to Amanda Kloots and Elvis on their unthinkable loss My heart breaks for Nick Corderos family and friends  your strength through Nicks struggle with COVID19 has been inspiring You are in my heart today
Mon Jul 06 18:07:52 +0000 2020,Happy birthday  I hope youre not celebrating by camping in your backyard 
Mon Jul 06 15:07:30 +0000 2020,You are strong you are beautiful and you are intelligent I love this so much 
Fri Jul 03 23:22:11 +0000 2020,Getting ready to watch Hamilton for the first time Hamilfilm 
Fri Jul 03 19:15:19 +0000 2020,Hes got some great material 
Fri Jul 03 16:51:19 +0000 2020,This Friday Im highlighting The Innocence Project I hope youll consider supporting them 
Thu Jul 02 00:53:41 +0000 2020,Seeing everyones posts about Carl Reiner makes you realize what an incredible legacy of laughter he left behind I was inspired by his talent and his humanity and I send love to his family
Tue Jun 30 14:16:15 +0000 2020,Go vote 
Mon Jun 29 21:40:23 +0000 2020,Young CEO Trey Brown got the surprise of a lifetime when he got to meet  backstage at my show 
Sat Jun 27 15:41:21 +0000 2020,The Season 3 finale of OMKalen is here I am so proud of you  
Sat Jun 27 03:16:19 +0000 2020,Congratulations to everyone on my show for winning the Emmy for Outstanding Daytime Talk Show I knew you were all outstanding including  who was out standing in my yard for much of the season
Fri Jun 26 18:43:09 +0000 2020,June is LGBTQ pride month and today I am celebrating the inspiring Black celebrities and visionaries Ive had on my show Black lives matter including LGBTQ Black lives Here are some organizations you can donate to     
Fri Jun 26 16:57:13 +0000 2020,Join me in supporting Pride Lives Stonewall Day a global livestream event today to benefit LGBTQ organizations most affected by COVID19 prideliveofficial     
Fri Jun 26 16:29:01 +0000 2020,Happy birthday to the very funny  
Thu Jun 25 19:52:06 +0000 2020,Tamir Rice would have been 18 today He was killed by police when he was 12 years old There have still been no charges filed Think of all the things he could have been BlackLivesMatter 
Wed Jun 24 17:21:59 +0000 2020,Read what happened to ElijahMcClain and ask yourself what you would do if it happened to someone you knew JusticeForElijahMcClain  
Tue Jun 23 16:11:47 +0000 2020,Live here Go vote 
Mon Jun 22 22:50:49 +0000 2020,Emeka is one of my favorite guests from all 17 seasons of my show 
Mon Jun 22 19:24:59 +0000 2020,We have to make voting more accessible Pay attention to whats happening Speak up And VOTE AllEyesOnKentucky 
