created_at,text
Sat Jul 04 18:04:34 +0000 2020,There s many ways to celebrate the  FourthOfJuly One way is celebrating the stories of the incredible men and women who protect our freedoms every day  So proud of orlandobloom for portraying a real hero  Check out
Sat Jul 04 16:29:50 +0000 2020,bb you re a firework and also  BlackLivesMatter
Fri Jul 03 19:44:14 +0000 2020,when I get my smile back  it s over for you hoes
Thu Jul 02 04:39:56 +0000 2020,Thank you friend
Wed Jul 01 18:06:55 +0000 2020,Thought it was appropriate to bring it back to my roots for this one   Acoustic  Daisies is out now
Wed Jul 01 05:46:38 +0000 2020,The Moore the merrier
Wed Jul 01 05:39:20 +0000 2020,love him  his strength makes me smile
Tue Jun 30 23:13:53 +0000 2020,Ignite the  disco  light  amp  let it shine for your 4th of July lewk    dont forget that 10  from the sale of every shoe and handbag from the   website will go to   to support their efforts in empowering more BIPOC LGBTQ  students  shoesdaytuesday
Tue Jun 30 07:49:40 +0000 2020,People that say they don t pick their nose are straight up LIARS
Sat Jun 27 03:42:52 +0000 2020,these the deep deep trax
Sat Jun 27 03:34:08 +0000 2020,it can my angel
Sat Jun 27 01:01:46 +0000 2020,Live
Fri Jun 26 05:15:16 +0000 2020,ICYMI  CANTCANCELPRIDE
Thu Jun 25 13:21:13 +0000 2020,Lots of things are cancelled  rightfully so  trust  but u  CANTCANCELPRIDE  amp  u cant cancel dance remixes w  some of ya fav songs okur Grab ya hairbrush  aka    mop  aka dance partner   amp  join me    and   tonight at 9pm ET
Tue Jun 23 18:02:32 +0000 2020,Perfect shoe for when u wanna let ur hair down  have a few rounds  amp  just let go like    don t forget 10  from the sale of every shoe and handbag from the   site will go to    amp  their efforts in empowering more BIPOC LGBTQ  students  shoesdaytuesday
Mon Jun 22 21:01:50 +0000 2020,The band s back together and we re doing it live   LIVE live  like you can hear me mouth breathing between songs because I m THAT pregnant    Save the date in ur calendars  I ll be performing on   this Friday at 9pm ET
Mon Jun 22 16:01:55 +0000 2020,Told them your  dancefloor  dreams and  they all started dancin    Here s the   remix of  Daisies      and catch this new vibe and much more glamour from motha on    CantCancelPride this Thursday night
Mon Jun 22 06:29:21 +0000 2020,babycat and I love daddy orlandobloom for his heart but of course always very proud of him and his incredibly talented contributions rolling out this summer   Retaliation is a powerful one coming July 24th  Mark
Fri Jun 19 00:36:26 +0000 2020,Are you watching  DemocracySummer2020  I ll be on at 6 45p PT  Join us as we kick off our movement to the polls this November  Go to   to both watch AND to register to vote
Wed Jun 17 04:04:04 +0000 2020,"i ve got to shed all this skin
if I want the distance
let the sun in
pull out the weeds
and focus my vision"
Wed Jun 17 00:22:52 +0000 2020,Sending love and light this  ShoesdayTuesday     I will be donating 10  from the sale of every shoe and handbag from   in June and July to   to support their efforts in empowering more BIPOC LGBTQ  students
Tue Jun 16 18:11:23 +0000 2020,Very proud to be able to lift up my LGBTQ  brothers and sisters this Pride month with   Can t Cancel Pride  Helping LGBTQ  People in Need  Be sure to save the date  June 25th   CantCancelPride
Mon Jun 15 19:34:43 +0000 2020,I was like  not today Satan
Mon Jun 15 16:38:01 +0000 2020,I m excited to be a part of this kickoff to Democracy Summer 2020 with so many amazing talents  activists and speakers  The young people of America are speaking loud and clear on the streets and online  and come
Sun Jun 07 17:56:29 +0000 2020,DearClassof2020  I hope in the midst of all that is happening in the world  you can take a moment to celebrate the accomplishment of graduating  You are the future  and I know you will take everything you ve learned
Fri Jun 05 22:56:07 +0000 2020,dear full moon tonight  please  be  gentle
Fri Jun 05 18:57:49 +0000 2020,I signed and it took 2 minutes  Katycats go   JusticeForBreonna  HappyBirthdayBreonna
Thu Jun 04 18:04:35 +0000 2020,There are a lot of ways to help the movement towards justice and equality and I believe this is where we could make the most change RIGHT NOW  Yesterday  campaignzero launched  8CantWait  a list of policies
Tue Jun 02 07:04:03 +0000 2020,I try to live my life to answer the question   How can I be of service  I have spent the last few days watching  listening and reflecting about how to utilize my privilege and platform  I hope that  BlackoutTuesday
Sun May 31 00:51:53 +0000 2020,I guess you re outta your mind till it actually happens  incredible congrats to spacex   astro bobbehnken   and Elon on a successful launch after so many years of hard work
Sat May 30 20:33:58 +0000 2020,powerful
Sat May 30 19:58:00 +0000 2020,take me with you
Fri May 29 16:03:42 +0000 2020,Some of u with sharp ears caught a glimpse of this remix earlier this week   Major thanks to   for kicking off the first  Daisies dance party of the summer  we will dance even if it s at home
Fri May 29 07:23:19 +0000 2020,BLACKLIVESMATTER
Wed May 27 22:24:06 +0000 2020,Welp  Today s  SpaceLaunchLive was BUMPED due to weather  but what s two days when spacex has been waiting for 18 years  Let s pray it s in the cards for Saturday  Set your alarm for the 3 22pm EDT launch  and
Wed May 27 18:10:11 +0000 2020,Going live from the   on   and   right now   SpaceLaunchLIVE
Wed May 27 17:27:00 +0000 2020,12 yrs ago when I wrote a new song I d go to   to work it out for an audience that wasnt Kitty Purry  When   invited me to do their Living Room Concert Series I took it back to where it all started  Watch at 4p PT
Wed May 27 14:32:32 +0000 2020,Over the moon   to be able to participate in the   launch   in my own  1 in 7 billion small way  Tune in to   or   at 11am PT to see this historic moment GO OFF     SpaceLaunchLIVE
Wed May 27 06:07:32 +0000 2020,I m starting to look like shrek now just forewarning u
Wed May 27 05:58:26 +0000 2020,same
Tue May 26 22:28:27 +0000 2020,Gather your  shoe  friends around and tune in to   at 9 00pm ET tonight  And see a sneak preview of the special set we built because when you can t go to the Q  ya build it urself    ShoesdayTuesday
Tue May 26 04:09:26 +0000 2020,Last week I was in a live action version of this animation created by   and I m happy to reveal the next dimension of  Daisies with this lyric video
Mon May 25 16:37:56 +0000 2020,A picture is worth a thousand words  or maybe a few lyrics  Stay tuned tomorrow for it all to make even more sense
Sun May 24 20:32:30 +0000 2020,It s been 1 week since my first TV performance of  Daisies  and I know a lot of y all have been curious about how we did it  here s a look at how XR studios transported me to that animated    that u may or may not see again soon
Fri May 22 23:41:53 +0000 2020,ICYMI  I had the honor of kicking off the     Summer Concert Series   this morning from my favorite tree in my backyard  For all the sleepyheads who hit snooze too many times  watch my performance of  Daisies here     amp  check out NRO while ur at it
Fri May 22 00:48:57 +0000 2020,The show should be renamed   We Have Much More Sex Than NORMAL PEOPLE
Thu May 21 21:37:58 +0000 2020,is a Santa Barbara based org coordinating with public health authorities  nonprofit organizations and businesses throughout the U S  and globally to provide personal protective equipment and essential medical items to health workers responding to COVID 19
Thu May 21 21:36:39 +0000 2020,"Are you into 
following the rules  
 Daisies   promo  
supporting a worthy charity  
Check out     for Daisies merch  including this face mask  whose proceeds all go to"
Wed May 20 20:34:03 +0000 2020,When life hands you canyon sunflowers   you make  daisies   because you still believe in magic     BTS from the  Daisies music video shot by globaliza
Wed May 20 03:07:57 +0000 2020,I know we re all sheltering in place but if u really wanna go on a trip why don t u BAG a  mushroom  purse       10  of every purchase will be donated to   to assist their efforts in providing essential items to those impacted by COVID 19  KatyPursey
Tue May 19 17:00:35 +0000 2020,What lyric from  Daisies embodies you  Let my new Instagram filter decide for you
Mon May 18 05:02:06 +0000 2020,I told   to sing to where she wanted to go  and looks like she sang it into existence  Congratulations on being this season s  AmericanIdol and a HUGE virtual hug and thank you to the entire AI crew for getting us through this crazy season
Mon May 18 02:07:59 +0000 2020,ICYMI    My first TV performance of  Daisies  on the  AmericanIdol finale is now on YouTube  Hope it transported you out of your living room as much as it transported me into this one   Watch it at
Mon May 18 00:06:56 +0000 2020,and don t forget to VOTE  Voting for all time zones will begin near the start of  AmericanIdol  and ends after the second round of performances
Mon May 18 00:06:04 +0000 2020,Start on the  AmericanIdol stage  end up in a whole new    thanks to brand new technology that s never been seen before on TV    Tune in NOW for the grand finale AND my first television performance of  Daisies
Sun May 17 21:15:46 +0000 2020,Tune in TONIGHT for the  AmericanIdol grand finale AND my first television performance of  Daisies    It all starts at 8 7c on   and I ll see you at 4pm PT   7pm ET on Facebook Live to talk about everything
Sat May 16 23:33:35 +0000 2020,sometimes self care is an everything bagel
Sat May 16 20:39:58 +0000 2020,"Took those sticks and stones  showed  em I could build a house   
 Daisies is out now  watch the full video at"
Fri May 15 23:01:23 +0000 2020,tonight at 7 30p ET  HousepartyHost
Fri May 15 20:43:16 +0000 2020,"NewMusicDaily
 Daisies"
Fri May 15 19:06:22 +0000 2020,Cover yourself in  Daisies merch    Get your   themed bundles   at   100  of my proceeds from the face mask sales will go to one of my favorite Santa Barbara based charities    to support their national Covid 19 efforts
Fri May 15 04:07:50 +0000 2020,I wrote this song a couple months ago as a call to remain true to the course you ve set for yourself  regardless of what others may think  Recently  it has taken a new meaning for me  in light of what the whole world is experiencing   Daisies
Fri May 15 04:06:50 +0000 2020,"Each of us is one in more than seven billion  with our own story of strength and resilience to tell 
 DAISIES  is out now  I hope it will be the soundtrack to going for your dreams now  especially the ones we left behind"
Fri May 15 03:16:12 +0000 2020,so soooooooooon  DaisiesTonight
Thu May 14 16:08:29 +0000 2020,12 hours until  DAISIES   is out  The music video premiere page is now LIVE at   Hope it s ok if I zoom bomb your party tonight
Thu May 14 04:04:48 +0000 2020,IN 24 HOURS  I want to be crashing your  Daisies Zoom watch parties    Download some backgrounds and send me your party info at   and I ll try to buzz through
Wed May 13 19:54:21 +0000 2020,jtfirstman is the only person that has been making me consistently laugh during quarantina follow him for whiter teeth  stronger nail beds  good grades and to end Covid    Live  Love  Laugh  Believe
Wed May 13 14:08:55 +0000 2020,Join me for a live Q amp A and performance with   this Friday  I ll be performing  Daisies  for the very first time  Drop your questions here and tune in on  AmazonLive Friday at 10 00a PT on
Tue May 12 20:47:59 +0000 2020,"When did we all stop believing in MAGIC  

 DAISIES    3 days away 
Pre save at"
Tue May 12 19:40:05 +0000 2020,sometimes i don t know what s worse trying to avoid the virus or the waves of depression that come with this new norm
Mon May 11 23:18:48 +0000 2020,"I ll never let  em change me til they cover me in   daisies 

FRIDAY   Daisies"
Mon May 11 08:31:02 +0000 2020,when your unborn daughter gives you a middle finger from the womb you know you re in for it  happymothersdaytome    Middle Finger Up
Mon May 11 07:05:36 +0000 2020,it helped me get my smile back
Mon May 11 07:00:05 +0000 2020,ilysm  DisneySingalong
Mon May 11 06:54:39 +0000 2020,honestly we both look dumb o     AmericanIdol
Mon May 11 03:52:03 +0000 2020,2 sets of performances   2 lewks tonight   West coast  have your favorites made the top 7  Then vote for who you want in your  AmericanIdol   GRAND FINALE   next week     PS  4th slide spoiler for tonight s
Sun May 10 21:09:30 +0000 2020,Then don t forget to tune in to   at 7p 6p Central for an ele phantastic  DisneySingalong and roll straight into the  AmericanIdol Top 7 reveal singing their favorite Disney songs and mom tributes
Sun May 10 21:09:03 +0000 2020,"I SEE NO DIFFERENCE    
Have you HERD  It s the best night of the year   Disney Night Mother s Day  and we ve got a whole trunkful of     for you  I ll be on Facebook Live at 6 30p ET  3 30p pacific  to answer all of your questions about  AmericanIdol"
Sat May 09 19:21:28 +0000 2020,Have you sent your  KatysDaisies flowers yet  Which is your favorite bouquet  Don t forget momma
Fri May 08 16:31:27 +0000 2020,Select a bouquet you wish to share and write your personal message to go along with it  We re sure you ll be able to find the right bloom for just about anyone   even for Mom this Mother s Day
Fri May 08 16:31:09 +0000 2020,At  KatysDaisies  our goal is to provide the best virtual flower delivery service that can help you tell someone you care  you love them  you miss them  or simply thank them for believing in you
Thu May 07 16:02:17 +0000 2020,"The first single from  KP5 is called  DAISIES and she s coming MAY 15  2020  

THE MUSIC MUST GO ON"
Thu May 07 07:22:37 +0000 2020,Reminding myself that we are called human beings not human doings
Wed May 06 21:41:04 +0000 2020,the world s starting to feel like one big game of mafia for the truth
Wed May 06 02:00:38 +0000 2020,i think eventually my tipping point will be one last zoom link
Tue May 05 23:02:58 +0000 2020,Sticks and stones may break your bones  but Daisies are the friendliest flower    don t forget 10  of every purchase will be donated to   to assist their efforts in providing essential items to children and families impacted by COVID 19   ShoesdayTuesday
Tue May 05 19:02:10 +0000 2020,Happy CYN co De Mayo  Grab your    or apple juice for me    and join   and me on IG Live at 5pm PT for a little happy hour hang over some DRINKS and we ll talk music and mentorship
Tue May 05 05:20:17 +0000 2020,what would have been   TheMetBall2020    The Metropolitan Museum of Art  New York
Mon May 04 03:04:14 +0000 2020,WIPE  I mean SWIPE   over to see how you can vote for your fav  americanidol top 10 FYI  spoiler alert West coast  if you re looking for that extra roll  tune in to   now on   to see my big dumb
Sun May 03 23:29:25 +0000 2020,but do you think we ll make any sense
Sun May 03 21:06:42 +0000 2020,is on a roll so you re going to want to put your   down  pull out your      amp  tune into  AmericanIdol tonight at 8 7c on   What better way to wipe your cares away for 2 hours   PS  we ll catch up beforehand at 4 30p PT   7 30p ET on Facebook live
Wed Apr 29 04:32:34 +0000 2020,if you re up for a princess picnic in your backyard or living room     and don t forget 10  of every purchase will be donated to   to assist their efforts in providing essential items to children and families impacted by COVID 19   ShoesdayTuesday
Mon Apr 27 02:58:55 +0000 2020,Welcome to my home studio       WESTCOAST  It s your turn for  AmericanIdol  And don t forget to    VOTE for who you want in your TOP 10 before 9am ET tomorrow
Sun Apr 26 21:21:25 +0000 2020,We at  AmericanIdol are keeping it both fresh and CLEAN  Tune in for the 1st ever episode from our homes tonight   8 7c on   It s up to u to narrow us down to our top    And I ll be going live on Facebook at 4 30pm PT   7 30pm ET before the east coast broadcast
Sun Apr 26 07:02:18 +0000 2020,when you hear  hey guys  17 times as you scroll ig
Tue Apr 21 23:40:28 +0000 2020,Who said you can t add a little sparkle to your sweats      and don t forget 10  of every purchase will be donated to   to assist their efforts in providing essential items to children and families impacted by COVID 19   ShoesdayTuesday
Sun Apr 19 22:36:13 +0000 2020,Here I am in my last glampt prequarentina look March 12th in front of the Sydney Opera House   a world class venue that our next  AmericanIdol could be performing at in their future   Follow their journey tonight
Sun Apr 19 06:23:27 +0000 2020,Kitty Purry crawled through my then boyfriend s window 15 years ago  fully pregnant and seeking shelter  Two litters and many moons later  this street cat became a lovable mascot to many  Sadly  Kitty completed her
Wed Apr 15 18:45:51 +0000 2020,the people that used to say  I only do hugs  are most definitely cancelled for the foreseeable future
Wed Apr 15 04:31:59 +0000 2020,My definition of success is being able to peel a price tag off the bottom of an item CLEANLY leaving NO residue
Tue Apr 14 23:59:11 +0000 2020,Who says you can t look cute while being bored in the house      and don t forget 10  of every purchase will be donated to   to assist their efforts in providing essential items to children and families impacted by COVID 19  ShoesdayTuesday
Tue Apr 14 23:57:07 +0000 2020,do we think this is the season finale of The Simulation or nah
Tue Apr 14 20:06:04 +0000 2020,"How will   continue  
I ll be judging from California   
  from LA  
   amp    in Nashville  
  will host from Cali  
Contestants perform at their house  
America will VOTE from HOME and choose a WINNER"
Sun Apr 12 22:36:32 +0000 2020,Somebunny   is going to be live on FACEBOOK with you right before Idol starts tonight at 7 45p ET to have a little Q amp A about any of your  AmericanIdol questions
Thu Apr 09 22:07:14 +0000 2020,Two of my favorites have come together at the perfect moment  toyourhealth  pressedxbragg     Check out   to order online for contactless curbside pickup or delivery or go to
Wed Apr 08 03:05:44 +0000 2020,Sending    out to all of you on this  ShoesdayTuesday  I will be donating 10  from the sale of every shoe and handbag from   in April and May to   to assist their efforts in providing essential items to children and families impacted by COVID 19
Tue Apr 07 19:20:51 +0000 2020,this is how you wash with styyylesss
Mon Apr 06 02:00:35 +0000 2020,OMGEE We re leaving it to you  America  We couldn t choose between    amp    so we re leaving it to you  Vote at    AmericanIdol
Mon Apr 06 01:46:37 +0000 2020,It s the end of the  AmericanIdol journey for  DemiRae   but the beginning of a new journey for her  Keep being the you you wanna see on stage girl
Mon Apr 06 01:41:35 +0000 2020,This is definitely love that I m feeling for   pure light   AmericanIdol
Mon Apr 06 01:38:46 +0000 2020,YASSSTH   not just the voice  not just the moves  but THE REVEAL AND I AM HERE FOR IT  AmericanIdol
Mon Apr 06 01:25:03 +0000 2020,We gotta look out cause the next generation is coming and they are NOT HERE TO PLAY         AmericanIdol
Mon Apr 06 01:17:46 +0000 2020,all endings are also beginnings  Chin up butter cup     AmericanIdol
Mon Apr 06 01:15:23 +0000 2020,I ve said it before but IT  IS  NOT  EASY  saying no to some really great contestants like  GraceLundy  Mark my words  give it 5 years and Grace is gonna prove us wrong  It s all about timing  sometimes    AmericanIdol
Mon Apr 06 01:08:00 +0000 2020,has one of the best voices in the competition but she s gotta round it all out now if she wants to go ALL THE WAY    AmericanIdol
Mon Apr 06 01:02:36 +0000 2020,Also  I have a lot of respect for   As you can tell  he wasn t supposed to shoot that day  5 o clock shadow  no makeup  but he means it when he says he ll always be there for the contestants  I thought that was really cool of him    AmericanIdol
Mon Apr 06 00:54:15 +0000 2020,I hope  RobertTaylor keeps chasing those dreams  and the hair  Werk  but don t overwork    AmericanIdol
Mon Apr 06 00:42:09 +0000 2020,I have no problem throwing   and   under the bus  especially when I win the argument   It ain t nothing but a hair flip hinny  You earned that top 20 spot    AmericanIdol
Mon Apr 06 00:35:39 +0000 2020,We love a good surprise at  AmericanIdol  So glad your dad got to see you make it to the top 20   And yes  that performance definitely earned a celebratory pool jump
Mon Apr 06 00:27:46 +0000 2020,I ve loved seeing    AKA Julia GaGORGEOUS blossom   To be honest this rendition of  GlitterInTheAir by   was maybe my favorite performance in Hawaii yet   AmericanIdol
Mon Apr 06 00:17:32 +0000 2020,Be the artist you want to see in your own students   I hope you continue to make your daughter AND your students PROUD      AmericanIdol
Mon Apr 06 00:14:15 +0000 2020,I m always gonna root for   and the strength  vulnerability  and growth she s shown us over the last 2 years has been amazing   AmericanIdol
Mon Apr 06 00:04:20 +0000 2020,Hope you can continue to keep seeing the VALUE in yourself   You aren t just a singer  you re an ARTIST and every human life has VALUE     AmericanIdol
Sun Apr 05 23:59:15 +0000 2020,It s been a WEEK since we left you with a cliffhanger for   on  AmericanIdol   Does it feel like it s been forever or does it feel like yesterday
Sun Apr 05 22:05:21 +0000 2020,Make some tea as the tea is served  Real talk  tonight  and every night    on  AmericanIdol   Tune in for part   of Hawaii at 8 7c on    stayathome
Sun Apr 05 04:52:05 +0000 2020,love you guys
Sat Apr 04 03:32:18 +0000 2020,it s a girl     Girls Run The World
Wed Apr 01 02:49:34 +0000 2020,Today s  ShoesdayTuesday  staying home but making it pineapple
Mon Mar 30 02:30:40 +0000 2020,NOOO   HOW DARE YOU with a cliffhanger  I DON T NEED THIS EXTRA SKRESS   Do ya ll think   makes it
Mon Mar 30 02:01:32 +0000 2020,Your family    and we believe in you   Time for you to believe in you too   AmericanIdol
Mon Mar 30 01:38:04 +0000 2020,What  A  Metamorphosis    has grown before our very eyes but still continues to surprise us     AmericanIdol
Mon Mar 30 01:36:56 +0000 2020,EVERYONE WHEN   STARTED SINGING EN ESPAÑOL  AmericanIdol
Mon Mar 30 01:30:36 +0000 2020,We ll always believe in  AmberFiedler  She s a fighter     AmericanIdol
Mon Mar 30 01:19:25 +0000 2020,All that WERK you put in from being in cover bands really gave you an edge performing in front of a crowd   YOU   CAN T   SKIP   THE   STEPS  AmericanIdol
Mon Mar 30 01:15:37 +0000 2020,might not have the biggest range but he s got artistry  and that s harder to find than a gymnastics note type hittin  voice   Love seeing your fellow contestants love on you  too   AmericanIdol  staystrongLouisiana
Mon Mar 30 01:15:01 +0000 2020,YOU WILL  And it s gonna be expensive because   babycat
Mon Mar 30 01:06:56 +0000 2020,Never seen   react that way to a performance  Embrace the new  confident version of yourself that made the girls swoon    AmericanIdol
Mon Mar 30 00:59:46 +0000 2020,Get out of your head    and into your heart        We want you to see what we see in you   AmericanIdol
Mon Mar 30 00:39:00 +0000 2020,AmericanIdol might not have been your journey  CamrynLeighSmith  but I ain t worried about you one bit  Keep following your heart   and your faith
Mon Mar 30 00:29:42 +0000 2020,Don t think I ve ever seen   get that hyped during a performance    Take that horse back to HOLLYWOOD   And trust we are waiting for everyone s LEWKS   AmericanIdol
Mon Mar 30 00:26:05 +0000 2020,Ok seeing   grandma going down that water slide is the  SMILE I needed today  AmericanIdol
Mon Mar 30 00:19:42 +0000 2020,So proud of  MakaylaBrownlee and seeing the incredible FIGHT she has    17 family members   1 boyfriend willing to hop on a plane for her shows just how incredible she is   WeloveyouMakayla  AmericanIdol
Mon Mar 30 00:17:20 +0000 2020,Dangit  MakaylaBrownlee makes me sound like my mom everytime she comes around  But I guess it s good practice   Godgiveusthestrength       AmericanIdol
Mon Mar 30 00:08:10 +0000 2020,This is a new side of   we haven t seen before  Glad you took   tough love and took it to heart   AmericanIdol
Mon Mar 30 00:02:33 +0000 2020,Back to the Green Mile in beautiful green Hawaii  RT if you ve ever picked lunch over work or is anyone else just constantly staring at their refrigerator these days   ItMe  AmericanIdol
Sun Mar 29 21:19:13 +0000 2020,Pre quarantine    mid quarantine     Hope your stay at home plans tonight include joining me for a beautiful and breezy episode of  AmericanIdol  taped in heavenly Hawaii back in January and February     Aulani
Fri Mar 27 23:10:30 +0000 2020,FBF to  babycat s   first show on  InternationalWomensDay   Hope all my fans down under are safe and healthy and can t wait to see you all again soon
Tue Mar 24 22:43:22 +0000 2020,when your car becomes your extra bedroom
Tue Mar 24 21:05:39 +0000 2020,In these trying times  I am so thankful for my precious little puppy Nugget   I love her so much I even made a shoe out of her  check it out    ShoesdayTuesday
Tue Mar 24 01:59:21 +0000 2020,Get urself someone who is as supportive of you as   is to      AmericanIdol
Tue Mar 24 01:52:44 +0000 2020,feels like you re learning how to meme during  quarentimes
Tue Mar 24 01:42:32 +0000 2020,This show really cuts down how much     and I fight each other when deliberating    AmericanIdol
Tue Mar 24 01:28:01 +0000 2020,Oh you wanna play          AmericanIdol
Tue Mar 24 01:24:13 +0000 2020,I do and inspire us to stay on top of our game STILL  AmericanIdol
Tue Mar 24 01:19:28 +0000 2020,You gotta keep using music to help channel your emotions   That s what makes it a beaut just like your mum   AmericanIdol
Tue Mar 24 01:18:06 +0000 2020,mom is all of us right now  AmericanIdol
Tue Mar 24 01:14:33 +0000 2020,We re proud of you  too   DillonJames      AmericanIdol
Tue Mar 24 01:09:16 +0000 2020,That was the sweetest performance of  Rainbow   MakalylaBrownlee  So thrilled you were able to come back and sing for us and give us that perspective we need to be reminded of sometimes     AmericanIdol
Tue Mar 24 01:07:24 +0000 2020,Convinced   was lying when she said she learned  The Joker  last night because she owned that one     AmericanIdol
Tue Mar 24 01:06:20 +0000 2020,put his foot on that one       AmericanIdol
Tue Mar 24 01:04:58 +0000 2020,CamrynLeighSmith keeps bringing me to my feet   AmericanIdol
Tue Mar 24 01:02:18 +0000 2020,Nothing to be embarrassed about   MakaylaBrownlee  We all handle stress differently    AmericanIdol
Tue Mar 24 01:00:35 +0000 2020,More  HollywoodWeek advice  don t try to be too extra  just be yourself  You ll just freak out     and me    AmericanIdol
Tue Mar 24 00:56:13 +0000 2020,The only thing SICK about   was that performance    AmericanIdol
Tue Mar 24 00:43:55 +0000 2020,Hope   continues to listen to   advice be yourself  you re the only you     AmericanIdol
Tue Mar 24 00:40:54 +0000 2020,amp    showing that sometimes you need to shine solo  but an incredible backing band always helps add that extra bit of sparkle        AmericanIdol
Tue Mar 24 00:36:29 +0000 2020,doesn t just have the voice  but the songwriting chops to go with it     AmericanIdol
Tue Mar 24 00:35:59 +0000 2020,Ok but I am all about   Nana s ICONIC lewk  Grandmas are the best      AmericanIdol
Tue Mar 24 00:31:41 +0000 2020,But more often than not  taking the risk doesn t always help you   even if we love you  we warned you   AmericanIdol
Tue Mar 24 00:25:48 +0000 2020,took a huge gamble and got a huge payoff   in tears  And for those of you counting at home  that s the fifth wow of the night  AmericanIdol
