created_at,text
Wed Jul 01 01:05:37 +0000 2020,8 years we miss you more each year and Bravo still talks about how you guys met every time I see him GranGranDolly Clara  
Fri Jun 26 23:22:16 +0000 2020,yerrrrr   where we at with this my brother 
Tue Jun 02 21:50:13 +0000 2020,VOTE Ya aint got shit else to do man Get yo ass off the couch and go vote I dont wanna hear another excuse Stop believing that your vote and voice dont matter This the illest way to protestvote for the change you want 
Tue Jun 02 06:11:19 +0000 2020,we aint buying shit and we aint selling shit neither gang gang BLACKOUTTUESDAY AF     
Sat May 30 03:36:28 +0000 2020,If intentional MURDER is the fit consequence for drugs or resisting arrestthen whats the fit consequence for MURDER GeorgeFloyd AhmaudArbery BreonnaTaylor 
Thu May 14 23:03:11 +0000 2020,the Jet Blacks are for life but this Milky Way is sumn sexy Coded  
Thu May 14 22:43:56 +0000 2020,introducing the Coded sunnies from   
Tue May 12 20:45:53 +0000 2020,I meansheesh OffRecord  
Mon May 11 18:23:46 +0000 2020,get into this bra tholike Im usually humble but not about lingerie   
Mon May 11 18:02:18 +0000 2020,New Savage for de gal dem Wanted to give yall an extra drop cause we turned 2 years old and you guys have been incredible supporters believed in our brand appreciated what we stood for and Ofcourse bought hella   Thank you from all of us  SavageXSummer 
Fri May 08 23:11:31 +0000 2020,SHOTSANDSWATCHES  Cheeks Out Cream Blush 10 shades Full video on  
Fri May 08 22:46:53 +0000 2020,This SHOTSANDSWATCHES game is no joke  yall just have to watch and see We are showing you all 10  sheer amp buildable Cheeks Out Cream Blush shades Full video up on  
Thu May 07 22:55:20 +0000 2020,the office for the record these are the OffRecord  glasses hittin May 13th 
Sat May 02 00:11:00 +0000 2020,  adamselman collab out now 
Thu Apr 30 21:34:14 +0000 2020,Da girls like it Savage So I had to bring AdamSelman back for another collab  Available May 1st only on  UXTRA 
Sun Apr 26 19:13:00 +0000 2020,Its called a no makeup makeup lewk  Im back with a new tutorial showin yall how to keep it FENTYFACEFRESH with my new  Cheeks Out Cream Blush amp Cream Bronzer Head to  to see the full ting  
Mon Apr 20 02:46:51 +0000 2020,2 new baddies on da block CREAMblush CREAMbronzer   out now 
Mon Apr 20 00:33:39 +0000 2020,I also created a new Face Shaping brush to help you apply effortlessly Get both now at    and SephorainJCP
Mon Apr 20 00:33:38 +0000 2020,FT calls finna be next level Get into this  cream blush and cream bronzer that just melt into your makeup to really look like skin or for days like these where your bare skin could use a lil glow and fresh color  
Fri Apr 10 21:46:31 +0000 2020,pull up New special guest announcement Party starts in 15 mins and my boy  is performing live Head over to  IG  see yall soon FentySocialClub 
Thu Apr 09 23:55:48 +0000 2020,You already know Im in there boo 
Thu Apr 09 23:49:35 +0000 2020,Pull up to the  IG live party tomorrow in celebration of our latest fauxleather capsule Hit the link for ya invitation FENTYsocialclub   
Tue Mar 31 13:46:41 +0000 2020,PullUp 
Mon Mar 30 20:39:56 +0000 2020,TRUTH  StevenKlein  
Mon Mar 30 20:34:17 +0000 2020,"Wearing  by RiccardoTisci amp a  durag
 StevenKlein 
Styling 
  amp NaphiisBeautifulHair
   
 MariaSalandra 
W thanks "
Mon Mar 30 20:34:16 +0000 2020,Gang back in da Stu  and I are back at it again with StevenKlein for the May 2020 cover of   available Friday April 3rd 
Fri Mar 27 23:34:39 +0000 2020, 
Fri Mar 27 04:20:48 +0000 2020,Believe it  album live  
Sun Feb 23 20:29:52 +0000 2020,Lol   
Wed Feb 12 23:08:15 +0000 2020,Be mine bih XXSavageX 
Tue Feb 11 08:28:57 +0000 2020, 
Fri Feb 07 15:54:57 +0000 2020,when yall was asleep lastnight I was out interacting with my  digital windows at Bergdorf Goodman  If you happen to be in NYC today do a lil drive by before it ends tonight 
